category,views,likes,comments,fetched_at,day_of_week,hour,title_length
Entertainment,1175463,18561,2403,2025-03-22 03:37:49.817005,3,10,55
Sports,900766,5163,6245,2025-03-22 03:37:49.817005,3,16,48
People & Blogs,1799580,61145,12722,2025-03-22 03:37:49.817005,2,9,34
Film & Animation,437031,697,651,2025-03-22 03:37:49.817005,2,12,13
People & Blogs,514837,6992,917,2025-03-22 03:37:49.817005,3,9,39
Sports,300812,4504,292,2025-03-22 03:37:49.817005,3,9,41
Comedy,433139,7835,717,2025-03-22 03:37:49.817005,3,9,20
Music,446996,28717,4049,2025-03-22 03:37:49.817005,3,9,69
Entertainment,131911,4444,1347,2025-03-22 03:37:49.817005,3,10,5
Entertainment,340865,17884,1267,2025-03-22 03:37:49.817005,3,8,33
Comedy,216753,4361,243,2025-03-22 03:37:49.817005,3,9,46
People & Blogs,279672,3349,209,2025-03-22 03:37:49.817005,2,11,99
People & Blogs,522284,12177,2307,2025-03-22 03:37:49.817005,2,11,46
People & Blogs,135956,4785,289,2025-03-22 03:37:49.817005,3,9,31
Comedy,1088307,17405,670,2025-03-22 03:37:49.817005,0,8,18
Travel & Events,249800,4390,373,2025-03-22 03:37:49.817005,2,9,54
Comedy,713511,16840,1529,2025-03-22 03:37:49.817005,2,9,45
Sports,367972,4556,1387,2025-03-22 03:37:49.817005,2,3,69
People & Blogs,375516,4131,300,2025-03-22 03:37:49.817005,2,11,37
Comedy,674139,13867,1604,2025-03-22 03:37:49.817005,1,11,35
Entertainment,503010,43062,2045,2025-03-22 03:37:49.817005,2,4,34
People & Blogs,215579,6148,724,2025-03-22 03:37:49.817005,2,8,22
People & Blogs,258855,9344,838,2025-03-22 03:37:49.817005,2,11,57
People & Blogs,179559,4908,375,2025-03-22 03:37:49.817005,3,9,27
Music,300826,31116,2916,2025-03-22 03:37:49.817005,3,11,69
Music,6422300,135834,9826,2025-03-22 03:37:49.817005,1,9,21
Entertainment,439113,41276,2421,2025-03-22 03:37:49.817005,2,9,42
Entertainment,273574,2894,206,2025-03-22 03:37:49.817005,2,9,53
Gaming,84441,3537,637,2025-03-22 03:37:49.817005,2,8,23
Music,19779974,246125,17278,2025-03-22 03:37:49.817005,0,9,30
Sports,798351,4516,401,2025-03-22 03:37:49.817005,1,12,33
Entertainment,444194,15122,635,2025-03-22 03:37:49.817005,1,11,52
Sports,652270,8488,1490,2025-03-22 03:37:49.817005,1,2,72
People & Blogs,338566,22864,1418,2025-03-22 03:37:49.817005,2,9,25
People & Blogs,212367,7347,686,2025-03-22 03:37:49.817005,2,11,44
People & Blogs,453463,10683,800,2025-03-22 03:37:49.817005,1,9,26
Music,498125,33807,2193,2025-03-22 03:37:49.817005,1,10,94
People & Blogs,195174,3867,450,2025-03-22 03:37:49.817005,2,9,26
Entertainment,440877,11217,747,2025-03-22 03:37:49.817005,0,13,30
Gaming,210733,4412,682,2025-03-22 03:37:49.817005,0,13,19
People & Blogs,248273,4166,287,2025-03-22 03:37:49.817005,0,14,49
People & Blogs,2011689,36236,1728,2025-03-22 03:37:49.817005,6,1,37
People & Blogs,1740879,43075,3850,2025-03-22 03:37:49.817005,4,9,20
Pets & Animals,173949,6027,525,2025-03-22 03:37:49.817005,1,9,22
People & Blogs,390394,9770,516,2025-03-22 03:37:49.817005,6,10,19
People & Blogs,278983,3956,115,2025-03-22 03:37:49.817005,0,11,42
Entertainment,1982451,28629,2856,2025-03-22 03:37:49.817005,4,11,26
Music,337736,15195,3589,2025-03-22 03:37:49.817005,0,8,15
Pets & Animals,210182,13059,1339,2025-03-22 03:37:49.817005,0,2,13
Pets & Animals,595066,20990,2244,2025-03-22 03:37:49.817005,5,2,18
Entertainment,1310318,4183,827,2025-03-22 03:37:49.817005,5,0,64
Music,27146010,444714,24621,2025-03-22 03:37:49.817005,4,3,36
People & Blogs,129230,8242,935,2025-03-22 03:37:49.817005,0,7,85
Entertainment,2023143,62986,2250,2025-03-22 03:37:49.817005,3,9,41
Music,1010215,19318,0,2025-03-22 03:37:49.817005,1,4,40
Howto & Style,423221,6968,176,2025-03-22 03:37:49.817005,4,14,39
Entertainment,382986,25197,1679,2025-03-22 03:37:49.817005,6,9,64
People & Blogs,951839,11646,1275,2025-03-22 03:37:49.817005,5,3,31
Entertainment,2180218,39954,4540,2025-03-22 03:37:49.817005,4,11,26
Entertainment,433073,6522,339,2025-03-22 03:37:49.817005,5,12,62
Entertainment,1472601,11642,888,2025-03-22 03:37:49.817005,5,1,53
People & Blogs,706832,16683,1390,2025-03-22 03:37:49.817005,0,14,81
People & Blogs,225854,4329,376,2025-03-22 03:37:49.817005,6,11,43
Pets & Animals,163747,10170,1075,2025-03-22 03:37:49.817005,2,2,28
People & Blogs,1351821,18755,1915,2025-03-22 03:37:49.817005,3,10,42
Science & Technology,251882,4240,488,2025-03-22 03:37:49.817005,6,13,55
People & Blogs,336658,5823,406,2025-03-22 03:37:49.817005,5,11,80
People & Blogs,317841,6942,243,2025-03-22 03:37:49.817005,5,12,14
