video_id,title,channel,published_at,views,likes,comments
md9-jG4RzXs,Race Highlights | 2025 Australian Grand Prix,FORMULA 1,2025-03-16T07:38:24Z,7763928,192790,7809
IQJL3htsDyQ,Can You Fool A Self Driving Car?,Mark Rober,2025-03-15T15:00:28Z,9456353,360727,12845
y-34-bAKgU8,I Tried Every Train in Japan,Ryan Trahan,2025-03-15T15:01:14Z,3173294,117213,7897
_qssZAbaYkA,NASA's SpaceX Crew-10 Docks With the ISS: All the Highlights in 13 Minutes,CNET,2025-03-16T08:01:19Z,861294,12204,2512
zNhtz0Lygik,Best Part (feat. H.E.R.),Daniel Caesar - Topic,2025-02-27T21:52:20Z,316125,3272,335
tG8ZaAgCTiE,Rating Viral Street Food At A Malaysian Night Market 🇲🇾,Safiya Nygaard,2025-03-15T15:04:20Z,1008208,57542,2386
Mr7T8TC-cZg,Qualifying Highlights | 2025 Australian Grand Prix,FORMULA 1,2025-03-15T06:35:23Z,6370229,147826,7685
LsCdYNguTJw,Kalogeras Sisters GO PROM DRESS SHOPPING!,Kalogeras Sisters ,2025-03-14T21:00:17Z,3782470,139332,7571
KoB2cqmYZNg,Animation vs. Addiction,Alan Becker,2025-03-15T12:00:06Z,3821590,300277,16772
XoUaH0xzxEI,"Lil Baby, Young Thug, Future - Dum, Dumb, and Dumber",LilBabyVEVO,2025-03-14T19:00:07Z,2347611,104967,6403
