Keyword,OldCount,NewCount,Difference,ChangeType,AbsDiff
로그,10,2,-8,DECREASED,8
브이,2,10,8,INCREASED,8
장모님,9,1,-8,DECREASED,8
하츠,10,2,-8,DECREASED,8
최초,8,1,-7,DECREASED,7
정통,9,2,-7,DECREASED,7
커플,7,1,-6,DECREASED,6
감자탕,8,2,-6,DECREASED,6
비하인드,7,1,-6,DECREASED,6
인생,1,6,5,INCREASED,5
공개,6,1,-5,DECREASED,5
협상,6,1,-5,DECREASED,5
만들기,8,3,-5,DECREASED,5
친구,2,6,4,INCREASED,4
나눔,6,2,-4,DECREASED,4
일본,7,3,-4,DECREASED,4
연애,1,5,4,INCREASED,4
기술,4,1,-3,DECREASED,3
트롯,4,1,-3,DECREASED,3
김치,1,4,3,INCREASED,3
하이라이트,4,1,-3,DECREASED,3
이제훈,4,1,-3,DECREASED,3
박보검,3,1,-2,DECREASED,2
이야기,1,3,2,INCREASED,2
미국,1,3,2,INCREASED,2
먹방,4,2,-2,DECREASED,2
믹스,3,5,2,INCREASED,2
아기,1,3,2,INCREASED,2
맛집,2,4,2,INCREASED,2
세라핌,1,2,1,INCREASED,1
라이브,1,2,1,INCREASED,1
정은지,2,1,-1,DECREASED,1
엄마,1,2,1,INCREASED,1
결혼,1,2,1,INCREASED,1
영상,1,2,1,INCREASED,1
육아,1,2,1,INCREASED,1
보이,2,1,-1,DECREASED,1
데이트,1,2,1,INCREASED,1
이사,2,1,-1,DECREASED,1
남편,2,1,-1,DECREASED,1
서인국,2,1,-1,DECREASED,1
커피,3,4,1,INCREASED,1
이유,2,1,-1,DECREASED,1
세계,2,1,-1,DECREASED,1
선공,1,2,1,INCREASED,1
아이유,2,3,1,INCREASED,1
아이돌,2,1,-1,DECREASED,1
감사,1,2,1,INCREASED,1
아들,2,1,-1,DECREASED,1
미스터,1,2,1,INCREASED,1
스위스,1,2,1,INCREASED,1
솔로,2,1,-1,DECREASED,1
제니,3,2,-1,DECREASED,1
수다,1,2,1,INCREASED,1
게임,2,1,-1,DECREASED,1
정동원,1,1,0,NO_CHANGE,0
이슈,1,1,0,NO_CHANGE,0
이별,1,1,0,NO_CHANGE,0
이삭,2,2,0,NO_CHANGE,0
점검,1,1,0,NO_CHANGE,0
이소담,1,1,0,NO_CHANGE,0
점점,1,1,0,NO_CHANGE,0
이상형,1,1,0,NO_CHANGE,0
전과자,1,1,0,NO_CHANGE,0
전설,3,3,0,NO_CHANGE,0
전하,1,1,0,NO_CHANGE,0
전화,1,1,0,NO_CHANGE,0
절친,1,1,0,NO_CHANGE,0
장가,1,1,0,NO_CHANGE,0
음식물,1,1,0,NO_CHANGE,0
정시,1,1,0,NO_CHANGE,0
의류,1,1,0,NO_CHANGE,0
정신,1,1,0,NO_CHANGE,0
이강인,1,1,0,NO_CHANGE,0
정수빈,1,1,0,NO_CHANGE,0
육회,1,1,0,NO_CHANGE,0
정우,1,1,0,NO_CHANGE,0
정원,1,1,0,NO_CHANGE,0
음식,2,2,0,NO_CHANGE,0
은파,2,2,0,NO_CHANGE,0
정신과,1,1,0,NO_CHANGE,0
정석원,1,1,0,NO_CHANGE,0
이범호,1,1,0,NO_CHANGE,0
정보,1,1,0,NO_CHANGE,0
정리,1,1,0,NO_CHANGE,0
이건,2,2,0,NO_CHANGE,0
이경규,1,1,0,NO_CHANGE,0
이경실,1,1,0,NO_CHANGE,0
정성,1,1,0,NO_CHANGE,0
이름,1,1,0,NO_CHANGE,0
이오,1,1,0,NO_CHANGE,0
임신,1,1,0,NO_CHANGE,0
임시,1,1,0,NO_CHANGE,0
일식,1,1,0,NO_CHANGE,0
일지,1,1,0,NO_CHANGE,0
장비,1,1,0,NO_CHANGE,0
일체,1,1,0,NO_CHANGE,0
임영웅,3,3,0,NO_CHANGE,0
임하룡,1,1,0,NO_CHANGE,0
일기,1,1,0,NO_CHANGE,0
인피니트,3,3,0,NO_CHANGE,0
인터뷰,1,1,0,NO_CHANGE,0
일동,1,1,0,NO_CHANGE,0
인천공항,1,1,0,NO_CHANGE,0
인척,1,1,0,NO_CHANGE,0
인수,1,1,0,NO_CHANGE,0
일본어,1,1,0,NO_CHANGE,0
일상,1,1,0,NO_CHANGE,0
일반,1,1,0,NO_CHANGE,0
자동,1,1,0,NO_CHANGE,0
자녀,1,1,0,NO_CHANGE,0
자꾸,1,1,0,NO_CHANGE,0
잔치국수,1,1,0,NO_CHANGE,0
잡화,1,1,0,NO_CHANGE,0
장기,1,1,0,NO_CHANGE,0
잠입,1,1,0,NO_CHANGE,0
자매,1,1,0,NO_CHANGE,0
자식,1,1,0,NO_CHANGE,0
자기,1,1,0,NO_CHANGE,0
잇츠,1,1,0,NO_CHANGE,0
입학,1,1,0,NO_CHANGE,0
재개,2,2,0,NO_CHANGE,0
재기,1,1,0,NO_CHANGE,0
재료,2,2,0,NO_CHANGE,0
이제,1,1,0,NO_CHANGE,0
이유식,1,1,0,NO_CHANGE,0
적응,1,1,0,NO_CHANGE,0
적자,1,1,0,NO_CHANGE,0
저희,1,1,0,NO_CHANGE,0
재회,1,1,0,NO_CHANGE,0
장윤정,1,1,0,NO_CHANGE,0
이창호,1,1,0,NO_CHANGE,0
이커머스,1,1,0,NO_CHANGE,0
이탈리아,1,1,0,NO_CHANGE,0
인기,1,1,0,NO_CHANGE,0
이창섭,1,1,0,NO_CHANGE,0
이찬원,2,2,0,NO_CHANGE,0
인사,1,1,0,NO_CHANGE,0
장인어른,1,1,0,NO_CHANGE,0
인문학,1,1,0,NO_CHANGE,0
인분,1,1,0,NO_CHANGE,0
가격,1,1,0,NO_CHANGE,0
어부,1,1,0,NO_CHANGE,0
얼굴,1,1,0,NO_CHANGE,0
어학,1,1,0,NO_CHANGE,0
어린이집,2,2,0,NO_CHANGE,0
얼마나,1,1,0,NO_CHANGE,0
엑스,1,1,0,NO_CHANGE,0
에이즈,2,2,0,NO_CHANGE,0
에일리,1,1,0,NO_CHANGE,0
에그드랍,1,1,0,NO_CHANGE,0
에브라,1,1,0,NO_CHANGE,0
에픽하이,1,1,0,NO_CHANGE,0
엄지원,1,1,0,NO_CHANGE,0
압축,1,1,0,NO_CHANGE,0
애순,1,1,0,NO_CHANGE,0
알리,1,1,0,NO_CHANGE,0
양봉,2,2,0,NO_CHANGE,0
양산,2,2,0,NO_CHANGE,0
양금,1,1,0,NO_CHANGE,0
야채,2,2,0,NO_CHANGE,0
어디,1,1,0,NO_CHANGE,0
양세형,1,1,0,NO_CHANGE,0
앨범,1,1,0,NO_CHANGE,0
액세서리,1,1,0,NO_CHANGE,0
야외,1,1,0,NO_CHANGE,0
