video_id,title,channel,category,published_at,views,likes,comments,fetched_at
oRM-5N3sQlA,송은이의 형부가 될지도 모르는 황동주와 한 차로 가🚘｜EP.45,VIVO TV - 비보티비,Comedy,2025-03-18T11:01:13Z,467362,11361,1307,2025-03-19 15:09:37.602367
Vj77kwKFKqk,"가비 찰스엔터 ""왜샀나?"" 청문회",유병재,Comedy,2025-03-17T08:00:24Z,833833,13642,539,2025-03-19 15:09:37.602367
EvmrKG-KnoQ,"국대 시간별 소집기 (feat. 손흥민, ""승호야, 같은 비행기 타고 왔는데 생일인 줄 몰랐다"") | 월드컵 3차 예선 EP.23",KFATV 대한민국 축구 국가대표팀,Sports,2025-03-18T02:20:04Z,520406,7757,1379,2025-03-19 15:09:37.602367
z-xfGoabprU,STAYC(스테이씨) 'BEBE' MV,STAYC,Music,2025-03-18T09:00:04Z,2626694,109387,8325,2025-03-19 15:09:37.602367
aFrQIJ5cbRc,NMIXX(엔믹스) “KNOW ABOUT ME” M/V,JYP Entertainment,Music,2025-03-17T09:00:02Z,10730175,217611,14728,2025-03-19 15:09:37.602367
adF9lGbgPOo,장모님.. 김치 담그는데 딸 말고 왜 자꾸 저를 찾으세요?(ft. 저도 저희집에선 귀한 아들),미자네 주막,Entertainment,2025-03-18T11:00:06Z,303846,12782,513,2025-03-19 15:09:37.602367
tkTQ24Zyl9s,역사를 쓰고 돌아온 안세영! 갓난아기까지 공항에 마중을..?,SBS Sports,Sports,2025-03-18T12:34:35Z,465727,3372,321,2025-03-19 15:09:37.602367
P6mb2xPfeb4,"""저흰 사람 웃길 때 절대 웃지 않아요"" ㅋㅋㅋㅋㅋ ㅠ ㅇ ㅏ 너네 미친 고 가탴ㅋㅋㅋㅠ!!!!!",요정재형,Entertainment,2025-03-16T08:00:01Z,1024619,14378,846,2025-03-19 15:09:37.602367
o7mx1j6AK0Q,"STAYC(스테이씨)의 킬링보이스를 라이브로! - ASAP, Teddy Bear, Poppy, RUN2U, 색안경, SO WHAT  | 딩고뮤직 | Dingo Music",딩고 뮤직 / dingo music,Music,2025-03-18T10:00:08Z,310921,24419,1720,2025-03-19 15:09:37.602367
36OnVala8ag,이찬원 '세월 베고 길게 누운 구름 한 조각' Live Clip [2024 이찬원 콘서트 '찬가'],이찬원,Music,2025-03-17T09:00:04Z,183669,14297,1466,2025-03-19 15:09:37.602367
uancR6aiw-c,[EN/JP] 비명만 지르다 끝난 급식 만들기 | 지멋대로 식탁 EP.05,M드로메다 스튜디오,Entertainment,2025-03-18T09:01:09Z,133906,5770,294,2025-03-19 15:09:37.602367
OCy1kIQSvN0,"임영웅 리사이틀 [RE:CITAL] Behind Ep3. 촌스러운 나, 마음에 들어요😋 오늘의 DJ 웅 등장이오~🕺",임영웅,People & Blogs,2025-03-16T09:16:00Z,350545,46752,5010,2025-03-19 15:09:37.602367
BNGUXP7jOHQ,강나미 채널 조회수 지분 100프로 💫 베텔기우스 원곡자 유우리에게 감사 인사했습니다,동네친구 강나미 [Kangnami],Entertainment,2025-03-17T10:00:12Z,496896,16460,1028,2025-03-19 15:09:37.602367
Do6fD5tJmZQ,하드코어에서 모든 색깔 공장 만들기,프뚜,Gaming,2025-03-17T13:07:29Z,162986,3758,613,2025-03-19 15:09:37.602367
c7Ti_dIsFiw,백희 임시보호 시작합니다,나렝아치 NaRengAchi,Pets & Animals,2025-03-17T02:33:00Z,174781,11763,1209,2025-03-19 15:09:37.602367
5sulSfWKV4Q,더보이즈 (THE BOYZ) 'VVV' MV,ONE HUNDRED (원헌드레드),People & Blogs,2025-03-17T09:00:10Z,7925301,60259,4645,2025-03-19 15:09:37.602367
2jCb51fQInA,구독자 별명 짓기! 마루의 선택은?,나는 마루,Film & Animation,2025-03-18T09:00:03Z,124619,8272,1423,2025-03-19 15:09:37.602367
buSOckc4_H8,"12년동안 친한형, 국민 아빠 성동일의 교육 철학(아빠어디가,성동일맛집,송도주민) | 가장(멋진)류진",가장(멋진)류진 petiteRyujin,People & Blogs,2025-03-17T10:00:51Z,186651,3997,204,2025-03-19 15:09:37.602367
fJcDQZJjxC8,독침이 없어서 입으로 물어뜯는 초소형꿀벌 키우는 양봉장가서 꿀 채밀하기(feat.럭형님),프응TV Honeybeefather,People & Blogs,2025-03-17T14:04:41Z,224153,3930,277,2025-03-19 15:09:37.602367
eFku7m95X3s,딸이 살고 있는 한국 아파트에 입을 다물지 못하는 일본 장인어른..,네루짱NERU,People & Blogs,2025-03-16T01:00:35Z,1606660,33268,1523,2025-03-19 15:09:37.602367
IoJNtlly4ck,정은지 & 서인국 - 커플 (Couple) Live,정은지 EUNJI,Entertainment,2025-03-18T04:33:00Z,140893,13813,678,2025-03-19 15:09:37.602367
O1CmJ5dFH5g,(ENG)에일리와 최시훈의 NEW신혼집 최초 공개! | 집에서 사우나가 된다고?,내조왕 최시훈,People & Blogs,2025-03-17T08:57:51Z,422358,6456,390,2025-03-19 15:09:37.602367
8stsEbydsSk,[M/V] 송필근 - 숙녀에게 (feat. 나현영),TOON STUDIO,Music,2025-03-16T08:58:07Z,349453,5989,421,2025-03-19 15:09:37.602367
IbxI43fHWnk,🇨🇭찰승헌스위스🇨🇭여행 브이로그!!!,찰스엔터,People & Blogs,2025-03-14T09:00:21Z,1398279,37578,3563,2025-03-19 15:09:37.602367
Z5bDxedvA6I,"토서방이라고요..? 일본남친의 긴장200% 한국 결혼식 사전(?)체험👰🤵ㅣK-대가족과 예비사위 신고식🔥, 한일 결혼 문화 차이, 첫 정장 맞추기👔",토모토모TomoTomo,People & Blogs,2025-03-17T14:06:20Z,557149,14014,1254,2025-03-19 15:09:37.602367
Juc9F74_sJ8,NMIXX(엔믹스) “KNOW ABOUT ME” Performance Video,NMIXX,Entertainment,2025-03-18T09:00:09Z,655584,64560,2214,2025-03-19 15:09:37.602367
JJQyP9sLbT0,이래도되나? 싶은 미국 건 샵 후기,원지의하루,People & Blogs,2025-03-16T10:16:11Z,360476,9438,506,2025-03-19 15:09:37.602367
p6e8oVfC7Ec,"조훈현 VS 이창호 바둑계 전설, 세기의 대국을 맛 보라!┃승부, MBC 250316 방송",출발! 비디오여행 : MBC 공식 채널,Film & Animation,2025-03-17T05:00:42Z,97785,575,269,2025-03-19 15:09:37.602367
8xufY2fpyn8,WING (윙) - Dopamine | Show! MusicCore | MBC250315방송,MBCkpop,Music,2025-03-15T06:37:55Z,1166122,31501,4116,2025-03-19 15:09:37.602367
T6fFMgysK50,안녕하세요 Hebi 입니다.,Hebi.,Music,2025-03-17T08:00:11Z,267562,14592,3495,2025-03-19 15:09:37.602367
Rs9rKCWCle4,오버워치 2 X 르세라핌 | 게임플레이 트레일러,오버워치,Gaming,2025-03-18T03:45:01Z,90200,1858,692,2025-03-19 15:09:37.602367
tRY9krgBVLk,절친 박서진의 가왕 소식 들은 김희재의 미친 무대! #박서진 #김희재,목포MBC 가요센터,Music,2025-03-17T08:00:46Z,144302,2263,124,2025-03-19 15:09:37.602367
7zkvm-SxgBM,7일 동안 매일 계란 30개씩 먹으면 생기는 일,고재영,Entertainment,2025-03-14T11:25:30Z,1867231,27864,2773,2025-03-19 15:09:37.602367
q1lAepUiq0I,눈앞에서 새를 관찰하는 기가막힌 방법 캬,새덕후 Korean Birder,Pets & Animals,2025-03-18T09:07:18Z,111595,4735,463,2025-03-19 15:09:37.602367
WhKPf5wtWyI,정은지&서인국 - 커플 (Couple) | Jeong Eun Ji x Seo In Guk | 야외녹음실｜Beyond the Studio｜LIVE,1theK Live - 원더케이 라이브,Music,2025-03-17T09:00:38Z,182734,12561,787,2025-03-19 15:09:37.602367
Hx5-axfWKaM,[VLOG] 조카랑 대화가 된다니.. 감격스러운 날💖 | 최고의 친구는 자매,지유롭게,People & Blogs,2025-03-17T11:13:16Z,221543,3531,110,2025-03-19 15:09:37.602367
XXwKq-Dj0Sk,우리나라에서 무려 14m 크기의 초대형 고래가 잡혔습니다,헌터퐝,People & Blogs,2025-03-15T03:00:27Z,919251,11427,1263,2025-03-19 15:09:37.602367
oVQEs5vwuOM,길에서 만삭인 강아지를 만났습니다,나렝아치 NaRengAchi,Pets & Animals,2025-03-15T02:33:00Z,493329,19105,2080,2025-03-19 15:09:37.602367
nL41mkmg2Qg,브로콜리 많이 사오세요. 참기름 대신 '이것'으로 10배 더 맛있어요!,딸을 위한 레시피 Recipes for daughters,Howto & Style,2025-03-14T14:08:39Z,369650,6284,158,2025-03-19 15:09:37.602367
QBV-0UBiUG4,"vlog 어린이집첫등원 대오열😂어린이집준비물! 잔치국수,등촌샤브샤브,안방꾸미기",트위티 (Tweety),People & Blogs,2025-03-16T11:00:27Z,209063,4175,366,2025-03-19 15:09:37.602367
9ATFvK6V2Vs,"이게 진짜 2만원이에요? 스마트폰, 태블릿, 노트북 액세서리 Best 12! 알리에서 골라왔습니다.",테크몽 Techmong,Science & Technology,2025-03-16T13:24:21Z,232869,4077,476,2025-03-19 15:09:37.602367
S7q1X7uNmhc,버터 맥주는 실제로 존재하는 걸까? 직접 도전해 봤습니다,술익는집,Howto & Style,2025-03-15T04:19:13Z,457959,6929,520,2025-03-19 15:09:37.602367
mwWSyXEozL4,일본어학교 졸업식 브이로그,수쩡민,People & Blogs,2025-03-15T12:59:21Z,294029,6678,238,2025-03-19 15:09:37.602367
4ERkRwnT7lg,연애하면 안 되는 사람,픽고 PICKGO,Entertainment,2025-03-15T10:00:05Z,824042,8683,949,2025-03-19 15:09:37.602367
ZsokcACLcrY,💸5만원도 안되는 가격에 1대1 메이크업 컨설팅을 받을 수 있다고요⁉️(광고X),회사원A,Howto & Style,2025-03-15T10:00:39Z,188130,4315,286,2025-03-19 15:09:37.602367
ED_YQ5CvNCg,"눈물의 유치원 적응기😂 등원준비물, 기저귀, 자기주도 이유식, 내 생일, 불고기 샌드위치, 앤다이브 처음 먹어 봄, 커피 러버, 히든천재 파스타",yoovlog,People & Blogs,2025-03-15T11:03:50Z,315418,5641,396,2025-03-19 15:09:37.602367
qqlI_3dBewY,니가 왜 여기서 나와,띱 Deep,Comedy,2025-03-15T03:00:50Z,1656843,25794,1339,2025-03-19 15:09:37.602367
n3JIEQElZPI,"연세대 25학번, 정시 3관왕 한 마이린 수능 성적 최초공개 (110만 유튜버, 수시 6광탈) | 출석번호XXX",뮤니버스,Entertainment,2025-03-14T09:15:03Z,213646,2735,139,2025-03-19 15:09:37.602367
4QsxbK8hY04,대학 떨어진 나의 근황,와코,People & Blogs,2025-03-14T09:00:05Z,243919,4594,328,2025-03-19 15:09:37.602367
0a1SpBR-ysM,재료값만 100만원.. 요즘 핫한 추성훈 스테이크부터 일식코스요리 제대로 먹어보겠습니다 feat. 일하는용형,지피티,Sports,2025-03-13T09:31:45Z,527674,5814,678,2025-03-19 15:09:37.602367
X6oDE2VG44M,하 빡세다 네고왕 김원훈 첫 출근 [네고왕] Ep.0,달라스튜디오,Comedy,2025-03-13T09:30:10Z,614862,6063,863,2025-03-19 15:09:37.602367
