Keyword,TodayCount,YesterdayCount,Difference,ChangeType
가격,0.0,1,-1.0,DISAPPEARED
가구,0.0,1,-1.0,DISAPPEARED
가득,0.0,2,-2.0,DISAPPEARED
가면,0.0,1,-1.0,DISAPPEARED
가비,0.0,1,-1.0,DISAPPEARED
가수,0.0,1,-1.0,DISAPPEARED
가요무대,0.0,2,-2.0,DISAPPEARED
가위바위보,0.0,1,-1.0,DISAPPEARED
가장,0.0,2,-2.0,DISAPPEARED
가전,0.0,1,-1.0,DISAPPEARED
가족,0.0,2,-2.0,DISAPPEARED
가즈,0.0,1,-1.0,DISAPPEARED
가지,0.0,1,-1.0,DISAPPEARED
가탴,0.0,1,-1.0,DISAPPEARED
간격,0.0,1,-1.0,DISAPPEARED
간단,0.0,1,-1.0,DISAPPEARED
간식,0.0,1,-1.0,DISAPPEARED
간이,0.0,1,-1.0,DISAPPEARED
감격,0.0,1,-1.0,DISAPPEARED
감기,0.0,1,-1.0,DISAPPEARED
감사,0.0,2,-2.0,DISAPPEARED
감상,0.0,1,-1.0,DISAPPEARED
감성돔,0.0,1,-1.0,DISAPPEARED
감스트,0.0,1,-1.0,DISAPPEARED
감염,0.0,1,-1.0,DISAPPEARED
감자탕,0.0,2,-2.0,DISAPPEARED
갑자기,0.0,1,-1.0,DISAPPEARED
갓난아기,0.0,1,-1.0,DISAPPEARED
강사,0.0,1,-1.0,DISAPPEARED
강아지,0.0,1,-1.0,DISAPPEARED
개그맨,0.0,1,-1.0,DISAPPEARED
개발자,0.0,1,-1.0,DISAPPEARED
개월,0.0,1,-1.0,DISAPPEARED
갤럭시,0.0,1,-1.0,DISAPPEARED
갱신,0.0,1,-1.0,DISAPPEARED
걸스,0.0,1,-1.0,DISAPPEARED
검사,0.0,1,-1.0,DISAPPEARED
겁쟁이,0.0,1,-1.0,DISAPPEARED
게임,0.0,2,-2.0,DISAPPEARED
겨울잠,0.0,1,-1.0,DISAPPEARED
결과,0.0,1,-1.0,DISAPPEARED
결혼,0.0,2,-2.0,DISAPPEARED
결혼식,0.0,1,-1.0,DISAPPEARED
계란,0.0,1,-1.0,DISAPPEARED
계약,0.0,1,-1.0,DISAPPEARED
고래,0.0,1,-1.0,DISAPPEARED
고삐,0.0,1,-1.0,DISAPPEARED
고왕,0.0,2,-2.0,DISAPPEARED
고요,0.0,2,-2.0,DISAPPEARED
고추,0.0,1,-1.0,DISAPPEARED
고품격,0.0,1,-1.0,DISAPPEARED
공개,0.0,6,-6.0,DISAPPEARED
공구,0.0,1,-1.0,DISAPPEARED
공장,0.0,1,-1.0,DISAPPEARED
공항,0.0,1,-1.0,DISAPPEARED
과감,0.0,1,-1.0,DISAPPEARED
과연,0.0,1,-1.0,DISAPPEARED
과정,0.0,1,-1.0,DISAPPEARED
관광객,0.0,1,-1.0,DISAPPEARED
관왕,0.0,1,-1.0,DISAPPEARED
관찰,0.0,1,-1.0,DISAPPEARED
괄사,0.0,1,-1.0,DISAPPEARED
광고,0.0,1,-1.0,DISAPPEARED
광탈,0.0,1,-1.0,DISAPPEARED
교육,0.0,1,-1.0,DISAPPEARED
구독,0.0,1,-1.0,DISAPPEARED
구름,0.0,1,-1.0,DISAPPEARED
구이,0.0,1,-1.0,DISAPPEARED
국물,0.0,1,-1.0,DISAPPEARED
국민,0.0,1,-1.0,DISAPPEARED
국산,0.0,1,-1.0,DISAPPEARED
군대리아,0.0,1,-1.0,DISAPPEARED
귀국,0.0,1,-1.0,DISAPPEARED
그냥,0.0,1,-1.0,DISAPPEARED
그녀,0.0,1,-1.0,DISAPPEARED
그룹,0.0,1,-1.0,DISAPPEARED
근황,0.0,2,-2.0,DISAPPEARED
금고,0.0,1,-1.0,DISAPPEARED
급식,0.0,1,-1.0,DISAPPEARED
급찐급빠,0.0,1,-1.0,DISAPPEARED
기능,0.0,1,-1.0,DISAPPEARED
기상,0.0,1,-1.0,DISAPPEARED
기술,0.0,4,-4.0,DISAPPEARED
기저귀,0.0,1,-1.0,DISAPPEARED
긴급,0.0,2,-2.0,DISAPPEARED
긴장,0.0,2,-2.0,DISAPPEARED
김광규,0.0,1,-1.0,DISAPPEARED
김미숙,0.0,2,-2.0,DISAPPEARED
김사랑,0.0,1,-1.0,DISAPPEARED
김소희,0.0,1,-1.0,DISAPPEARED
김원,0.0,1,-1.0,DISAPPEARED
김재중,0.0,2,-2.0,DISAPPEARED
김준호,0.0,1,-1.0,DISAPPEARED
김치,0.0,4,-4.0,DISAPPEARED
김희재,0.0,1,-1.0,DISAPPEARED
김희철,0.0,1,-1.0,DISAPPEARED
꼬북칩,0.0,1,-1.0,DISAPPEARED
꿀벌,0.0,1,-1.0,DISAPPEARED
끝장,0.0,1,-1.0,DISAPPEARED
나고야,0.0,1,-1.0,DISAPPEARED
나눔,0.0,2,-2.0,DISAPPEARED
나래,0.0,1,-1.0,DISAPPEARED
나미,0.0,1,-1.0,DISAPPEARED
나우,0.0,1,-1.0,DISAPPEARED
나잇,0.0,1,-1.0,DISAPPEARED
나폴리,0.0,1,-1.0,DISAPPEARED
나혼산,0.0,1,-1.0,DISAPPEARED
난생처음,0.0,1,-1.0,DISAPPEARED
남미,0.0,1,-1.0,DISAPPEARED
남자,0.0,1,-1.0,DISAPPEARED
남친,0.0,2,-2.0,DISAPPEARED
남편,0.0,2,-2.0,DISAPPEARED
낭만,0.0,1,-1.0,DISAPPEARED
내기,0.0,1,-1.0,DISAPPEARED
냉장고,0.0,2,-2.0,DISAPPEARED
넥스트,0.0,1,-1.0,DISAPPEARED
넷플릭스,0.0,1,-1.0,DISAPPEARED
노동,0.0,1,-1.0,DISAPPEARED
노트북,0.0,1,-1.0,DISAPPEARED
녹음실,0.0,1,-1.0,DISAPPEARED
누구,0.0,1,-1.0,DISAPPEARED
누룽지,0.0,1,-1.0,DISAPPEARED
누운,0.0,1,-1.0,DISAPPEARED
눈물,0.0,1,-1.0,DISAPPEARED
눈앞,0.0,1,-1.0,DISAPPEARED
눕프핵,0.0,1,-1.0,DISAPPEARED
다운,0.0,1,-1.0,DISAPPEARED
다이닝,0.0,1,-1.0,DISAPPEARED
다이브,0.0,1,-1.0,DISAPPEARED
다이어트,0.0,1,-1.0,DISAPPEARED
다홍,0.0,1,-1.0,DISAPPEARED
닥터,0.0,1,-1.0,DISAPPEARED
단계,0.0,1,-1.0,DISAPPEARED
달라,0.0,2,-2.0,DISAPPEARED
당장,0.0,1,-1.0,DISAPPEARED
당황,0.0,1,-1.0,DISAPPEARED
대가족,0.0,1,-1.0,DISAPPEARED
대결,0.0,1,-1.0,DISAPPEARED
대국,0.0,1,-1.0,DISAPPEARED
대기업,0.0,1,-1.0,DISAPPEARED
대망,0.0,1,-1.0,DISAPPEARED
